a	affy_hugene_1_0_st_v1	ensembl_gene_id	gene_biotype	external_gene_name
321	7892501	ENSG00000271982	snoRNA	SNORD58B
4224	7892501	ENSG00000265681	protein_coding	RPL17
4610	7892501	ENSG00000265182	processed_pseudogene	SRP72P1
2433	7892506	ENSG00000120948	protein_coding	TARDBP
4034	7892508	ENSG00000205937	protein_coding	RNPS1
2690	7892509	ENSG00000096384	protein_coding	HSP90AB1
3625	7892512	ENSG00000143545	protein_coding	RAB13
3655	7892512	ENSG00000143543	protein_coding	JTB
3678	7892512	ENSG00000285641	protein_coding	AL358472.6
3087	7892514	ENSG00000127022	protein_coding	CANX
5006	7892514	ENSG00000283777	protein_coding	CANX
4286	7892516	ENSG00000138326	protein_coding	RPS24
3241	7892517	ENSG00000124422	protein_coding	USP22
1427	7892519	ENSG00000268093	lncRNA	AC022154.1
1438	7892519	ENSG00000063177	protein_coding	RPL18
3337	7892520	ENSG00000110700	protein_coding	RPS13
3461	7892520	ENSG00000011405	protein_coding	PIK3C2A
3633	7892521	ENSG00000143545	protein_coding	RAB13
3651	7892521	ENSG00000143543	protein_coding	JTB
549	7892524	ENSG00000099783	protein_coding	HNRNPM
2257	7892527	ENSG00000181163	protein_coding	NPM1
4129	7892529	ENSG00000057608	protein_coding	GDI2
488	7892530	ENSG00000231821	processed_pseudogene	NPM1P48
1543	7892530	ENSG00000249353	processed_pseudogene	NPM1P27
2249	7892530	ENSG00000181163	protein_coding	NPM1
2619	7892530	ENSG00000227969	processed_pseudogene	NPM1P22
2861	7892530	ENSG00000213104	processed_pseudogene	NPM1P46
3188	7892530	ENSG00000270449	processed_pseudogene	AP001485.1
3523	7892530	ENSG00000213881	processed_pseudogene	NPM1P6
4194	7892530	ENSG00000261007	processed_pseudogene	AC074051.3
789	7892532	ENSG00000175826	protein_coding	CTDNEP1
4440	7892533	ENSG00000100220	protein_coding	RTCB
193	7892534	ENSG00000200731	snRNA	RNU1-124P
944	7892534	ENSG00000168522	protein_coding	FNTA
3303	7892537	ENSG00000119953	protein_coding	SMNDC1
788	7892538	ENSG00000175826	protein_coding	CTDNEP1
419	7892541	ENSG00000131469	protein_coding	RPL27
3942	7892542	ENSG00000174231	protein_coding	PRPF8
4810	7892542	ENSG00000274442	protein_coding	PRPF8
4665	7892544	ENSG00000175467	protein_coding	SART1
1062	7892547	ENSG00000126247	protein_coding	CAPNS1
3623	7892548	ENSG00000143545	protein_coding	RAB13
3649	7892548	ENSG00000143543	protein_coding	JTB
3288	7892549	ENSG00000119953	protein_coding	SMNDC1
2353	7892551	ENSG00000254328	processed_pseudogene	AC008429.4
2409	7892555	ENSG00000120948	protein_coding	TARDBP
478	7892556	ENSG00000215492	processed_pseudogene	HNRNPA1P7
793	7892556	ENSG00000213412	processed_pseudogene	HNRNPA1P33
870	7892556	ENSG00000273784	lncRNA	AL137058.2
876	7892556	ENSG00000139675	protein_coding	HNRNPA1L2
