	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
d25	0.0031	0	0	0	0.1546	0	0.0038	0.0127	0.0165	0	0.1436	0.0148	0.2432	0.0412	0.0249	0.087	0	0	0.0022	0	0	0.2524
d29	0	0	0.0318	0	0.077	0	0	0.0176	0	0	0.0774	0.005	0.0727	0.0605	0.0031	0.1028	0	0	0.0208	0.0059	0.0072	0.518
d37	0	0.0066	0.0199	0	0.1318	0.0659	0	0.0137	0.0971	0	0.1998	0	0.1036	0.0514	0.077	0.0596	0	0	0	0.0089	0.0108	0.154
d38	0	0	0	0	0.0438	0	0	0	0	0	0.1251	0	0.1773	0.0409	0	0.0669	0	0	0	0.0202	0	0.5259
d39	0	0	0.0062	0	0.1244	0	0.0087	0	0.0236	0	0.0594	0	0.493	0.0625	0	0.0422	0	0	0.0435	0	0	0.1364
d61	0	0	0	0	0.1226	0.0437	0	6.00E-04	0.0208	0	0.0214	0.0322	0.275	7.00E-04	0.0703	0.0562	0	0	0	0	0	0.3564
d68	0.0818	0.0281	0	0	0.134	0.0606	0	0.0397	0.0653	0	0.0879	0.0118	0.1146	0.035	0.0165	0.0296	0	0	0	0	0	0.2953
d84	0	0	0.0124	0	0.1716	0	0.0461	0.0232	0.0129	0	0.086	0	0.1992	0.0304	0.0191	0.0618	0	0	0.0417	0	0.0012	0.2943
d91	0	0	0	0	0.0593	0.0242	0.0454	0.0264	0.0102	0	0.1119	0.0225	0.2238	0.0357	0.0534	0.0968	0	0	0.0058	0	0	0.2845
d121	0	0	0	0	0.0748	0.1194	0.0412	0	0	0	0.0144	0.0052	0.1233	0	0	0.0364	0	0	0	0	0	0.5854
d155	0	0	0.0098	0	0.0424	0	0	0	0	0	0.0315	1.00E-04	0.21	0.0197	0	0.0641	0	0	0	0	0	0.6224
d161	0.0315	0	0	0	0.1668	0.0089	5.00E-04	0.0292	0.0888	0	0.0326	0.0108	0.0565	0.0646	0.016	0.127	0	0	0	0	0	0.367
d187	0.0144	0.008	0	0	0.0446	0.159	0.0016	0.0231	0.0662	0	0.1058	0	0.1052	0.0514	0.0174	0.0596	0	0	0	0	0	0.3437
d188	0	0.0184	0	0.0825	0.1175	0.1483	0	0.0175	0.0831	0	0.1146	0	0.1231	0	0.0385	0.0584	0	0	0	0	0	0.1983
d194	0	0	0	0.3165	0	0	0.075	0.0544	0	0	0.1925	0	0.0252	0	0.1261	1.00E-04	0	0	0	0.0036	0	0.2066
d205	0.0032	0.1008	0	0	0.1751	0.0759	0	0	0.0641	0	0.0361	0.0151	0.0759	0.0241	0.0348	0.0915	0	0	0.0157	0	0	0.2877
d246	0	0.037	0.0039	0	0.088	0.0638	0.0546	0	0.0171	0	0.0367	0.0202	0.1499	0.0345	0.053	0.0989	0	0	0	0.0309	0	0.3116
d249	0	0	0	0	0.1405	0.0757	0.0754	0.0274	0.0392	0	0.1112	0	0.2209	0.0608	0.0394	0.0223	0	0	0	0.0146	0	0.1727
d253	0	0	0.0128	0	0.0693	0.0652	0.0042	0	0.0046	0	0.076	0.0167	0.2105	0.0992	0.0279	0.0681	0	0	0.0098	0	0	0.3356
d283	0.0016	0.0683	0	0	0.1196	0.0874	0.0218	0	0.0309	0	0.0273	0.0175	0.3367	0.0203	0.0369	0.0412	0	0	0	0	0	0.1904
d284	0	0	0	0	0.0628	0	0	0	0	0	0.074	0	0.2274	0.1014	0.0465	0.033	0	0	0	0.0052	0	0.4498
d299	0.0413	0	0	0	0.1145	0.0707	0.0153	0.0282	0.0197	0	0.0343	0.0143	0.1323	0.0462	2.00E-04	0.0856	0	0	0	0.0084	0	0.3888
d303	0.0278	0	0.0042	0	0.083	0	0.0071	6.00E-04	0	0	0.0762	0	0.1711	0.0429	0.002	0.0757	0	0	0.0027	0.022	0	0.4847
d307	0	0	0	0	0.0728	0	0	0	0	0	0.0387	0.0207	0.178	0.0208	0.1051	0.0607	0	0	0.0037	5.00E-04	0	0.499
d309	0.0102	0	0.0133	0	0.0947	0	0.0234	0	0	0	0.0931	1.00E-04	0.1628	0.0843	0.0614	0.073	0	0	0.0174	0	0	0.3664
d315	0.0126	0	0.0033	0	0.0457	0.021	0	0	0.0011	0	0.0344	0.0231	0	0.1391	0.074	0.0513	0	0	0	1.00E-04	0.0916	0.5026
d326	0	0	0.0108	0	0.0839	0	0	0	0	0	0.0505	0	0.0974	0.0712	0.0173	0.0776	0	0	0.0168	0	0.0189	0.5554
d347	0	0	0	0	0.1234	0	0.0042	0.0037	0.0196	0	0.0839	0	0.3015	0.0791	0.0222	0.0252	0	0	0	0.02	0	0.3171
d360	0.01	0.0151	0	0	0.1568	0	0.0215	0	0	0	0	0.0713	0.1962	0.0531	0.0591	0.0358	0	0	0.0047	0.0083	0	0.3682
d364	0	0	0.0147	0	0.13	0.051	0.007	0	0.0288	0	0.0267	0.0255	0.1745	0.0364	0.0924	0.0844	0	0	0.0261	0	0	0.3026
d366	1.00E-04	0	0	0	0.1028	0	0	0	0.0491	0	0.0768	0	0.1004	0.1597	0.0416	0.095	0	0	0.025	0.0036	0.0164	0.3295
d387	0	0	0	0	0.0304	0	0.0173	0	0	0	0.1792	0.0156	0	0.0942	0.0285	0.0381	0	0	0	0.0467	0	0.5501
hf2	0	0	0.0208	0	0.1205	0	0.0207	0.0145	0	0	0.0459	0	0.0888	0.0302	0.0181	0.1021	0	0	0.0181	0	0	0.5203
hf6	0	0	0	0	0.1881	0	0.0344	0	0.0106	0	0.1052	0	0.1058	0.0116	0.0196	0.0955	0	0	0	0	0	0.4291
hf10	0.0185	0	0.037	0	0.1016	0	0.0247	0.0377	0	0	0.0748	0	0.1058	0.0567	0.0157	0.0687	0	0	0.0301	0.0449	0.0038	0.3801
hf11	0	0	0	0	0.0132	0	0	0	0	0	0.058	0	0.0052	0.0461	0.013	0.0595	0	0	0	0.0498	0.0293	0.7258
hf13	0	0.0128	0	0	0.1304	0.104	0.0395	0	0.0275	0	0.0678	0	0.0837	0.0448	0.0242	0.0564	0	0	0	0	0	0.4089
hf18	0	0.0613	0.0071	0	0.1407	0.0104	0	0.0213	0.0482	0	0.1708	0	0.147	0.0476	0.0173	0.0724	0	0	0	0.0149	0	0.241
hf20	0	0	0.054	0	0.0675	0	0	0.0014	0	0	0.1028	0	0	0.0623	0.0015	0.1076	0	0	0.0514	0	0.0559	0.4956
hf22	0	0	0	0	0.0766	0	0.0124	0	0	0	0.1099	0	0.129	0.0532	0.0255	0.0485	0	0	0	0.0284	0.0038	0.5127
hf25	0	0.0055	0	0	0.1323	0	0.0247	0.0108	0.0066	0	0.1146	0	0.081	0.0422	0.0108	0.044	0	0	0	0.012	0	0.5155
hf27	0.0576	0.014	0.0553	0	0.155	0	0.0393	0.0388	0.0153	0	0.0388	0	0.0285	0.0847	0.0321	0.0916	0.0023	0	0.0544	0.0152	0.0267	0.2505
hf33	0.0126	0.0059	0.0162	0	0.1051	0	0	0	0.0189	0	0.0256	0.0669	0.1929	0.0406	0.0493	0.0683	0	0	0	0.0125	0	0.3853
hf37	0	0.0396	7.00E-04	0.156	0.0635	0	0.0797	0.1007	0.109	0	0.1699	0	0.0581	0	0.075	0.0383	0	0	0	0	0	0.1094
hf40	0	0	0	0.063	0.1032	0	0.033	0.0635	0.0071	0	0.1136	0.0096	0.1684	0.0466	0.0109	0.031	0	0	0	0	0	0.3501
