geo	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
GSM1561860	0	0	0	0.00384	0	0	0.0516	0.32316	0	0	0	0	0	0.09554	0.04197	0	0.01184	0.47206
GSM1561861	0	0	0	0.00536	0	0	0.08596	0.24898	0.02139	0.0039	0	0	0	0.14861	0.06016	0	0.04088	0.38476
GSM1561862	0	0	0	0.00291	0	0	0.0305	0.0806	0	0	0	0	0	0.00332	0.04202	0	0.10701	0.73364
GSM1561863	0.00192	0	0	0.01836	0	0	0.2573	0.03601	0	0	0	0	0	0.02581	0.05647	0	0.03171	0.57241
GSM1561864	0	0	0	0.01271	0	0	0	0.30106	0	0.00718	0	0	0	0	0.10692	0	0.01851	0.55361
GSM1561865	0	0	0	0.01096	0	0	0.01153	0.26106	0	0	0	0	0	0	0.1099	0	0.03603	0.57052
GSM1561866	0	0	0	0.00398	0	0	0.10814	0.23946	0	0	0	0	0	0.17498	0.07054	0	0	0.4029
GSM1561867	0	0	0	0.01731	0	0	0.00072	0.42475	0	0	0	0	0	0.02022	0.09232	0	0	0.44468
GSM1561868	0	0	0	0	0	0	0.01129	0.15315	0	0.05908	0	0	0	0.07161	0.01123	0	0.01925	0.67438
GSM1561869	0	0	0	0.01605	0	0	0	0.27777	0	0	0	0	0	0	0.03762	0	0.00942	0.65914
GSM1561870	0	0	0.01252	0.01147	0	0	0.07944	0.22418	0	0	0	0	0.01502	0.02114	0.08022	0	0.00967	0.54631
GSM1561871	0	0	0	0.02086	0	0	0.05017	0.25596	0	0	0	0	0	0	0.17174	0	0	0.50127
GSM1561872	0	0	0	0.02039	0	0	0.03342	0.36281	0	0	0	0	0	0	0	0	0	0.58338
GSM1561873	0	0	0	0	0	0	0.05429	0.24963	0	0	0	0	0	0.0299	0.06333	0	0.14835	0.4545
GSM1561874	0	0	0	0.0082	0	0	0.03047	0.35924	0	0	0	0	0	0	0.09562	0	0.01487	0.49161
